GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ferris-tweial,org.ferris.tweial.console.main,Main,16,50,0,0,5,12,1,2,1,2
ferris-tweial,org.ferris.tweial.console.main,StartupEvent,0,3,0,0,0,2,0,1,0,1
ferris-tweial,org.ferris.tweial.console.io,ConsoleWriterProducer,0,11,0,0,0,2,0,2,0,2
ferris-tweial,org.ferris.tweial.console.io,Console,185,0,4,0,42,0,12,0,10,0
ferris-tweial,org.ferris.tweial.console.io,AbstractPropertiesFile,36,40,6,2,1,9,4,2,0,2
ferris-tweial,org.ferris.tweial.console.io,ConsoleWriter,0,23,0,0,0,9,0,3,0,3
ferris-tweial,org.ferris.tweial.console.io,FileLastModifiedRunnable,0,66,0,2,0,13,0,4,0,3
ferris-tweial,org.ferris.tweial.console.io,FileLastModifiedEvent,0,21,0,0,0,8,0,4,0,4
ferris-tweial,org.ferris.tweial.console.twitter,TwitterCacheFile,193,0,16,0,33,0,15,0,7,0
ferris-tweial,org.ferris.tweial.console.twitter,TwitterStartupObserver,53,0,4,0,15,0,5,0,3,0
ferris-tweial,org.ferris.tweial.console.twitter,TwitterBuilder,43,0,0,0,12,0,3,0,3,0
ferris-tweial,org.ferris.tweial.console.twitter,TweetRetrievalEvent,0,63,0,6,0,13,0,10,0,7
ferris-tweial,org.ferris.tweial.console.twitter,TwitterAccount,39,0,0,0,10,0,5,0,5,0
ferris-tweial,org.ferris.tweial.console.twitter,TwitterPage,275,0,20,0,50,0,14,0,4,0
ferris-tweial,org.ferris.tweial.console.twitter,TweetFilter,6,50,1,1,2,11,1,4,0,4
ferris-tweial,org.ferris.tweial.console.twitter,TwitterDataSource,15,0,0,0,6,0,3,0,3,0
ferris-tweial,org.ferris.tweial.console.twitter,TwitterHandler,134,0,4,0,37,0,10,0,8,0
ferris-tweial,org.ferris.tweial.console.twitter,TwitterPropertiesFile,5,0,0,0,2,0,1,0,1,0
ferris-tweial,org.ferris.tweial.console.util,PropertiesFile,35,175,8,8,2,41,9,6,1,6
ferris-tweial,org.ferris.tweial.console.util,ArrayTools,17,57,0,6,4,12,2,5,2,2
ferris-tweial,org.ferris.tweial.console.util,PatternForYouTube,0,36,1,3,0,10,1,4,0,3
ferris-tweial,org.ferris.tweial.console.retry,ExceptionRetryInterceptor,44,0,2,0,10,0,3,0,2,0
ferris-tweial,org.ferris.tweial.console.data,DataDirectory,21,0,2,0,5,0,2,0,1,0
ferris-tweial,org.ferris.tweial.console.data,DataDirectoryProducer,14,0,0,0,4,0,3,0,3,0
ferris-tweial,org.ferris.tweial.console.view.page,AbstractPage,0,3,0,0,0,1,0,1,0,1
ferris-tweial,org.ferris.tweial.console.email,EmailSender.new Authenticator() {...},19,0,0,0,2,0,2,0,2,0
ferris-tweial,org.ferris.tweial.console.email,EmailStartupObserver,0,53,2,2,0,14,2,3,0,3
ferris-tweial,org.ferris.tweial.console.email,EmailRendererByFreeMarker,48,147,2,0,15,37,2,5,1,5
ferris-tweial,org.ferris.tweial.console.email,EmailTweetBuilder,22,349,6,40,4,57,8,24,2,7
ferris-tweial,org.ferris.tweial.console.email,EmailDataSource,0,15,0,0,0,6,0,3,0,3
ferris-tweial,org.ferris.tweial.console.email,EmailPropertiesFile,0,5,0,0,0,2,0,1,0,1
ferris-tweial,org.ferris.tweial.console.email,EmailTweet,0,34,0,2,0,10,0,11,0,10
ferris-tweial,org.ferris.tweial.console.email,EmailPage,19,45,0,0,4,10,1,3,1,3
ferris-tweial,org.ferris.tweial.console.email,EmailHandler,0,38,0,0,0,9,0,4,0,4
ferris-tweial,org.ferris.tweial.console.email,EmailSender,185,0,10,0,40,0,8,0,3,0
ferris-tweial,org.ferris.tweial.console.email,EmailSendEvent,18,6,0,0,7,3,5,1,5,1
ferris-tweial,org.ferris.tweial.console.email,EmailSendPriority,3,0,0,0,1,0,1,0,1,0
ferris-tweial,org.ferris.tweial.console.email,EmailAccount,6,126,0,8,2,40,2,18,2,14
ferris-tweial,org.ferris.tweial.console.util.version,Version,45,68,0,12,12,26,1,11,1,5
ferris-tweial,org.ferris.tweial.console.exit,ExitObserver,0,18,0,0,0,6,0,2,0,2
ferris-tweial,org.ferris.tweial.console.exit,ExitEvent,0,3,0,0,0,1,0,1,0,1
ferris-tweial,org.ferris.tweial.console.exit,ExitPage,20,0,0,0,5,0,2,0,2,0
ferris-tweial,org.ferris.tweial.console.log4j,Log4jConfigurationObserver,0,17,0,0,0,4,0,2,0,2
ferris-tweial,org.ferris.tweial.console.log4j,Log4jLoggerProducer,0,8,0,0,0,2,0,2,0,2
ferris-tweial,org.ferris.tweial.console.log4j,Log4jRollingFileAppender,21,37,2,0,5,9,3,1,2,1
ferris-tweial,org.ferris.tweial.console.log4j,Log4jReconfigure,0,37,0,2,0,8,0,3,0,2
ferris-tweial,org.ferris.tweial.console.lang,IntegerTool,12,0,0,0,5,0,2,0,2,0
ferris-tweial,org.ferris.tweial.console.lang,LongTool,13,0,0,0,5,0,2,0,2,0
ferris-tweial,org.ferris.tweial.console.lang,UnicodeCharacter,111,153,0,4,10,23,1,13,1,11
ferris-tweial,org.ferris.tweial.console.lang,StringDecorator.Decorating,3,41,0,2,1,10,1,5,1,4
ferris-tweial,org.ferris.tweial.console.lang,StringDecorator,54,234,3,15,11,47,4,12,1,6
ferris-tweial,org.ferris.tweial.console.splash,SplashScreenObserver,0,11,0,0,0,4,0,2,0,2
ferris-tweial,org.ferris.tweial.console.splash,SplashScreenPage,147,0,4,0,33,0,9,0,7,0
ferris-tweial,org.ferris.tweial.console.util.concurrent,ScheduledExecutorServiceProducer,7,0,0,0,2,0,2,0,2,0
ferris-tweial,org.ferris.tweial.console.text.i18n,LocalizedString,0,20,0,0,0,8,0,4,0,4
ferris-tweial,org.ferris.tweial.console.text.i18n,LocalizedStringList,0,34,0,2,0,9,0,3,0,2
ferris-tweial,org.ferris.tweial.console.text.i18n,LocalizedStringProducer,225,99,6,4,22,30,5,9,2,7
ferris-tweial,org.ferris.tweial.console.exception,UncaughtExceptionObserver,0,23,0,0,0,7,0,3,0,3
ferris-tweial,org.ferris.tweial.console.exception,UncaughtExceptionPage,0,26,0,0,0,6,0,2,0,2
ferris-tweial,org.ferris.tweial.console.application,ApplicationDirectoryProducer,0,28,0,0,0,7,0,2,0,2
ferris-tweial,org.ferris.tweial.console.application,ApplicationDirectory,0,4,0,0,0,2,0,1,0,1
ferris-tweial,org.ferris.tweial.console.configuration,ConfigurationDirectoryProducer,14,0,0,0,4,0,3,0,3,0
ferris-tweial,org.ferris.tweial.console.configuration,ConfigurationDirectory,0,21,0,2,0,5,0,2,0,1
ferris-tweial,org.ferris.tweial.console.preferences,PreferencesHandler,85,0,4,0,21,0,5,0,3,0
ferris-tweial,org.ferris.tweial.console.preferences,Preferences,32,0,2,0,12,0,9,0,8,0
ferris-tweial,org.ferris.tweial.console.preferences,PreferencesPropertiesFile,5,0,0,0,2,0,1,0,1,0
